Nome_da_Imagem,PID,Nome_da_Sessao,Sessao#,Uso_de_memoria (K)
backgroundTaskHost.exe,21980,Console,1,1.900
backgroundTaskHost.exe,13780,Console,1,1.708
backgroundTaskHost.exe,3180,Console,1,2.236
backgroundTaskHost.exe,2356,Console,1,3.344
backgroundTaskHost.exe,11708,Console,1,1.712
unsecapp.exe,17148,Services,0,8.200
backgroundTaskHost.exe,25936,Console,1,1.856
backgroundTaskHost.exe,23840,Console,1,3.324
backgroundTaskHost.exe,16596,Console,1,1.964
backgroundTaskHost.exe,17492,Console,1,2.856
backgroundTaskHost.exe,6844,Console,1,2.088
backgroundTaskHost.exe,17580,Console,1,2.580
backgroundTaskHost.exe,3084,Console,1,2.796
backgroundTaskHost.exe,10732,Console,1,1.712
backgroundTaskHost.exe,21784,Console,1,1.716
backgroundTaskHost.exe,24984,Console,1,1.804
backgroundTaskHost.exe,8884,Console,1,3.372
backgroundTaskHost.exe,21204,Console,1,1.708
backgroundTaskHost.exe,19484,Console,1,1.712
backgroundTaskHost.exe,12756,Console,1,1.752
backgroundTaskHost.exe,9932,Console,1,2.080
svchost.exe,25212,Services,0,9.800
msedge.exe,18440,Console,1,115.840
msedge.exe,26920,Console,1,8.988
msedge.exe,27132,Console,1,52.688
msedge.exe,27140,Console,1,34.428
msedge.exe,27176,Console,1,20.120
backgroundTaskHost.exe,26628,Console,1,1.712
backgroundTaskHost.exe,6376,Console,1,1.652
backgroundTaskHost.exe,17400,Console,1,1.704
backgroundTaskHost.exe,4748,Console,1,1.732
backgroundTaskHost.exe,2448,Console,1,1.652
backgroundTaskHost.exe,15768,Console,1,1.652
smartscreen.exe,22116,Console,1,13.576
svchost.exe,16948,Services,0,7.352
backgroundTaskHost.exe,26016,Console,1,1.652
chrome.exe,26348,Console,1,181.172
chrome.exe,12256,Console,1,8.476
chrome.exe,7948,Console,1,181.244
chrome.exe,24096,Console,1,50.476
chrome.exe,8052,Console,1,22.660
chrome.exe,15612,Console,1,108.000
chrome.exe,28244,Console,1,104.640
chrome.exe,17832,Console,1,157.864
chrome.exe,3776,Console,1,22.480
wireguardtun.exe,24944,Services,0,9.252
conhost.exe,12716,Services,0,10.080
audiodg.exe,30408,Services,0,17.180
Code.exe,30264,Console,1,115.464
Code.exe,29936,Console,1,32.132
Code.exe,28316,Console,1,183.256
Code.exe,27432,Console,1,44.964
Code.exe,8372,Console,1,235.916
Code.exe,28788,Console,1,147.216
Code.exe,30456,Console,1,101.168
Code.exe,17508,Console,1,92.540
Code.exe,27848,Console,1,124.648
pet.exe,11048,Console,1,5.804
conhost.exe,22740,Console,1,10.720
conhost.exe,28568,Console,1,6.924
powershell.exe,30316,Console,1,67.324
python.exe,28016,Console,1,93.196
conhost.exe,28392,Console,1,10.988
conhost.exe,8260,Console,1,6.916
powershell.exe,27148,Console,1,67.224
conhost.exe,27880,Console,1,6.908
powershell.exe,5764,Console,1,67.392
python.exe,30256,Console,1,31.956
conhost.exe,24640,Console,1,10.992
conhost.exe,16356,Console,1,7.084
powershell.exe,8452,Console,1,70.384
chrome.exe,28776,Console,1,113.516
chrome.exe,25364,Console,1,18.620
chrome.exe,23472,Console,1,29.828
powershell.exe,27592,Console,1,72.228
conhost.exe,29340,Console,1,8.940
OpenConsole.exe,26356,Console,1,16.412
WindowsTerminal.exe,29792,Console,1,101.924
RuntimeBroker.exe,6856,Console,1,11.260
WmiPrvSE.exe,29968,Services,0,12.840
python.exe,18552,Console,1,11.780
tasklist.exe,1408,Console,1,10.760
